t y1 y2 y3 y4 y5 y6 y7 y8 y9
0.0 0.0357 0.061 0.0863 0.1116 0.1369 0.1622 0.1875 0.2128 0.238
250.25025025025028 0.03519 0.05923 0.08256 0.10523 0.12726 0.14867 0.16951 0.18978 0.20944
500.50050050050055 0.03464 0.05746 0.07906 0.09957 0.1191 0.13774 0.15558 0.17268 0.18903
750.7507507507509 0.03407 0.0558 0.07597 0.09485 0.11262 0.12943 0.14538 0.16056 0.17499
1001.0010010010011 0.03352 0.05431 0.07336 0.09107 0.10766 0.12329 0.1381 0.15216 0.16549
1251.2512512512512 0.03299 0.05299 0.07122 0.08812 0.10396 0.1189 0.13305 0.14648 0.15919
1501.5015015015017 0.03249 0.05186 0.0695 0.0859 0.10132 0.11589 0.1297 0.1428 0.15519
1751.751751751752 0.03204 0.05091 0.06817 0.0843 0.09953 0.11396 0.12765 0.14063 0.15288
2002.0020020020022 0.03162 0.05013 0.06718 0.08322 0.09845 0.11291 0.12663 0.13962 0.15184
2252.252252252252 0.03125 0.04951 0.06649 0.0826 0.09796 0.11257 0.12643 0.13951 0.15176
2502.5025025025025 0.03092 0.04904 0.06607 0.08237 0.09797 0.11282 0.12688 0.1401 0.15243
2752.752752752753 0.03063 0.0487 0.06589 0.08247 0.09839 0.11356 0.12787 0.14126 0.15367
3003.0030030030034 0.03039 0.04847 0.06591 0.08286 0.09919 0.11471 0.12929 0.14287 0.15536
3253.2532532532537 0.03018 0.04836 0.06613 0.08352 0.10029 0.1162 0.13108 0.14483 0.15739
3503.503503503504 0.03 0.04836 0.06653 0.08442 0.10168 0.118 0.13316 0.14708 0.15969
3753.753753753754 0.02987 0.04844 0.06708 0.08552 0.10331 0.12005 0.1355 0.14956 0.16219
4004.0040040040044 0.02976 0.04862 0.06777 0.08681 0.10515 0.12231 0.13804 0.15222 0.16484
4254.254254254254 0.02969 0.04887 0.0686 0.08828 0.10719 0.12477 0.14075 0.15502 0.1676
4504.504504504504 0.02964 0.0492 0.06955 0.08991 0.1094 0.1274 0.14359 0.15792 0.17042
4754.754754754755 0.02963 0.04961 0.07063 0.0917 0.11177 0.13016 0.14655 0.16089 0.17328
5005.005005005005 0.02963 0.05008 0.07181 0.09362 0.11428 0.13304 0.14958 0.16391 0.17616
5255.255255255255 0.02967 0.05061 0.07311 0.09567 0.11692 0.13603 0.15268 0.16695 0.17902
5505.505505505506 0.02972 0.05121 0.0745 0.09785 0.11968 0.13909 0.15583 0.17 0.18186
5755.755755755757 0.0298 0.05187 0.07599 0.10014 0.12253 0.14223 0.159 0.17303 0.18465
6006.006006006007 0.02989 0.05258 0.07759 0.10255 0.12548 0.14542 0.16218 0.17603 0.18739
6256.256256256257 0.03001 0.05335 0.07927 0.10505 0.12851 0.14864 0.16535 0.179 0.19006
6506.506506506507 0.03015 0.05418 0.08105 0.10766 0.13162 0.1519 0.1685 0.18191 0.19266
6756.756756756758 0.0303 0.05506 0.08292 0.11036 0.13478 0.15516 0.17163 0.18476 0.19518
7007.007007007008 0.03047 0.056 0.08487 0.11315 0.13799 0.15843 0.17471 0.18753 0.19761
7257.257257257258 0.03066 0.05698 0.08692 0.11602 0.14124 0.16168 0.17774 0.19023 0.19995
7507.507507507508 0.03086 0.05803 0.08905 0.11897 0.14453 0.16492 0.18071 0.19285 0.2022
7757.757757757759 0.03108 0.05912 0.09127 0.12199 0.14783 0.16812 0.18361 0.19538 0.20436
8008.008008008009 0.03131 0.06028 0.09357 0.12507 0.15115 0.17129 0.18644 0.19782 0.20642
8258.258258258258 0.03156 0.06148 0.09596 0.12822 0.15447 0.1744 0.18919 0.20016 0.20838
8508.508508508508 0.03183 0.06274 0.09843 0.13141 0.15778 0.17746 0.19185 0.20241 0.21025
8758.758758758759 0.0321 0.06406 0.10098 0.13465 0.16107 0.18045 0.19442 0.20456 0.21203
9009.009009009009 0.0324 0.06544 0.10361 0.13792 0.16434 0.18337 0.1969 0.20662 0.21372
9259.25925925926 0.0327 0.06687 0.10632 0.14122 0.16757 0.18622 0.19929 0.20858 0.21531
9509.50950950951 0.03302 0.06837 0.1091 0.14455 0.17076 0.18898 0.20158 0.21044 0.21682
9759.75975975976 0.03336 0.06992 0.11196 0.14789 0.17389 0.19165 0.20377 0.21221 0.21824
10010.01001001001 0.0337 0.07154 0.11488 0.15123 0.17697 0.19424 0.20586 0.21389 0.21958
10260.26026026026 0.03407 0.07322 0.11787 0.15457 0.17998 0.19673 0.20786 0.21547 0.22084
10510.51051051051 0.03444 0.07497 0.12092 0.15789 0.18292 0.19912 0.20976 0.21697 0.22203
10760.760760760762 0.03484 0.07678 0.12404 0.1612 0.18578 0.20142 0.21156 0.21839 0.22314
11011.011011011013 0.03524 0.07866 0.1272 0.16447 0.18856 0.20362 0.21327 0.21972 0.22418
11261.261261261263 0.03566 0.08061 0.13041 0.16771 0.19125 0.20572 0.21489 0.22097 0.22516
11511.511511511513 0.0361 0.08263 0.13366 0.1709 0.19385 0.20772 0.21643 0.22215 0.22607
11761.761761761763 0.03655 0.08472 0.13694 0.17404 0.19635 0.20963 0.21787 0.22325 0.22693
12012.012012012014 0.03702 0.08689 0.14026 0.17712 0.19876 0.21144 0.21923 0.22429 0.22772
12262.262262262264 0.0375 0.08913 0.14359 0.18013 0.20108 0.21316 0.22052 0.22526 0.22847
12512.512512512514 0.038 0.09144 0.14694 0.18306 0.20329 0.21479 0.22172 0.22617 0.22916
12762.762762762764 0.03852 0.09382 0.15029 0.18592 0.20541 0.21633 0.22285 0.22701 0.22981
13013.013013013015 0.03905 0.09628 0.15363 0.1887 0.20743 0.21778 0.22391 0.22781 0.23041
13263.263263263265 0.0396 0.09882 0.15697 0.19138 0.20935 0.21914 0.22491 0.22855 0.23098
13513.513513513515 0.04018 0.10143 0.16028 0.19398 0.21117 0.22043 0.22584 0.22924 0.2315
13763.763763763765 0.04077 0.10411 0.16357 0.19648 0.21291 0.22164 0.22671 0.22988 0.23198
14014.014014014016 0.04138 0.10687 0.16682 0.19888 0.21455 0.22278 0.22752 0.23048 0.23243
14264.264264264266 0.04201 0.10969 0.17003 0.20119 0.2161 0.22384 0.22828 0.23103 0.23285
14514.514514514516 0.04266 0.11258 0.17318 0.2034 0.21756 0.22484 0.22899 0.23155 0.23324
14764.764764764766 0.04334 0.11554 0.17628 0.20552 0.21894 0.22578 0.22965 0.23203 0.2336
15015.015015015017 0.04404 0.11856 0.17931 0.20753 0.22024 0.22665 0.23026 0.23248 0.23394
15265.265265265267 0.04476 0.12164 0.18227 0.20945 0.22146 0.22747 0.23083 0.2329 0.23425
15515.515515515517 0.04551 0.12478 0.18515 0.21127 0.22261 0.22823 0.23136 0.23328 0.23454
15765.765765765767 0.04628 0.12796 0.18795 0.21299 0.22369 0.22894 0.23186 0.23364 0.2348
16016.016016016018 0.04708 0.13119 0.19066 0.21463 0.22469 0.2296 0.23232 0.23397 0.23505
16266.266266266268 0.04791 0.13445 0.19328 0.21618 0.22564 0.23022 0.23275 0.23428 0.23528
16516.516516516516 0.04877 0.13775 0.19581 0.21764 0.22652 0.23079 0.23314 0.23457 0.23549
16766.766766766767 0.04966 0.14107 0.19824 0.21901 0.22735 0.23133 0.23351 0.23483 0.23569
17017.017017017017 0.05058 0.14441 0.20057 0.22031 0.22812 0.23183 0.23385 0.23508 0.23587
17267.267267267267 0.05153 0.14776 0.20281 0.22152 0.22884 0.23229 0.23417 0.2353 0.23604
17517.517517517517 0.05252 0.15111 0.20495 0.22267 0.22951 0.23272 0.23446 0.23551 0.23619
17767.767767767768 0.05354 0.15446 0.20699 0.22374 0.23013 0.23312 0.23473 0.23571 0.23634
18018.018018018018 0.0546 0.15779 0.20893 0.22475 0.23071 0.23349 0.23499 0.23589 0.23647
18268.268268268268 0.05569 0.1611 0.21078 0.22569 0.23125 0.23383 0.23522 0.23606 0.23659
18518.51851851852 0.05683 0.16438 0.21253 0.22657 0.23175 0.23415 0.23544 0.23621 0.23671
18768.76876876877 0.05801 0.16762 0.21419 0.22739 0.23222 0.23444 0.23564 0.23635 0.23681
