,tau,min_cs,peak_i
0,2,4.696969696969697,1017.0627178779965
1,4,4.696969696969697,1018.0605559748876
2,6,4.696969696969697,1018.0605559748876
3,8,4.696969696969697,1019.2052399624536
4,10,4.696969696969697,1020.5055605457997
5,12,4.696969696969697,1021.9680260368901
6,14,4.696969696969697,1027.34447712871
7,16,4.848484848484849,1034.700435290168
8,18,4.848484848484849,1034.700435290168
9,20,4.848484848484849,1034.700435290168
10,22,4.848484848484849,1034.700435290168
11,24,4.848484848484849,1034.700435290168
12,26,4.848484848484849,1034.700435290168
13,28,4.848484848484849,1034.8246027262776
14,30,4.848484848484849,1034.8246027262776
15,32,4.848484848484849,1034.8246027262776
16,34,4.848484848484849,1034.8246027262776
17,36,4.848484848484849,1034.8246027262776
18,38,4.848484848484849,1034.978700096757
19,40,4.848484848484849,1034.978700096757
20,42,4.848484848484849,1034.978700096757
21,44,4.848484848484849,1035.168895463845
22,46,4.848484848484849,1035.168895463845
23,48,4.848484848484849,1035.402538861714
24,50,4.848484848484849,1044.939133122131
25,52,4.848484848484849,1049.8343083832106
26,54,4.848484848484849,1053.8476629521806
27,56,5.0,1056.4590520775844
28,58,5.0,1056.4590520775844
