t y1 y2 y3 y4 y5 y6 y7 y8 y9
0.0 0.0012 0.0024 0.0035 0.0047 0.0058 0.007 0.0081 0.0093 0.0104
2502.5025025025025 0.00128 0.00253 0.00365 0.00485 0.00593 0.00709 0.00814 0.00926 0.01027
5005.005005005005 0.00135 0.00263 0.00375 0.00492 0.00595 0.00704 0.00801 0.00905 0.00998
7507.507507507507 0.00142 0.00271 0.00381 0.00494 0.00593 0.00696 0.00788 0.00886 0.00974
10010.01001001001 0.00149 0.00279 0.00386 0.00495 0.0059 0.00688 0.00777 0.00871 0.00957
12512.512512512512 0.00156 0.00286 0.00391 0.00496 0.00586 0.00682 0.00767 0.0086 0.00945
15015.015015015015 0.00163 0.00292 0.00394 0.00496 0.00583 0.00676 0.0076 0.00852 0.00937
17517.517517517517 0.00169 0.00298 0.00398 0.00496 0.00581 0.00671 0.00754 0.00845 0.00931
20020.02002002002 0.00176 0.00303 0.00401 0.00496 0.00578 0.00666 0.00748 0.00839 0.00926
22522.522522522522 0.00183 0.00309 0.00403 0.00496 0.00576 0.00662 0.00743 0.00834 0.00922
25025.025025025025 0.00189 0.00314 0.00406 0.00495 0.00573 0.00658 0.00738 0.00829 0.00918
27527.527527527527 0.00196 0.00319 0.00409 0.00495 0.00571 0.00654 0.00733 0.00824 0.00914
30030.03003003003 0.00203 0.00324 0.00411 0.00495 0.00569 0.0065 0.00728 0.00819 0.0091
32532.532532532532 0.00209 0.00329 0.00413 0.00495 0.00567 0.00647 0.00724 0.00814 0.00906
35035.035035035035 0.00216 0.00333 0.00416 0.00495 0.00565 0.00643 0.00719 0.0081 0.00903
37537.53753753754 0.00222 0.00338 0.00418 0.00495 0.00563 0.0064 0.00715 0.00805 0.00899
40040.04004004004 0.00229 0.00342 0.0042 0.00495 0.00561 0.00636 0.0071 0.008 0.00895
42542.54254254254 0.00235 0.00346 0.00422 0.00495 0.0056 0.00633 0.00706 0.00796 0.00891
45045.045045045044 0.00242 0.00351 0.00424 0.00495 0.00558 0.0063 0.00702 0.00791 0.00887
47547.54754754755 0.00248 0.00355 0.00426 0.00495 0.00556 0.00626 0.00697 0.00786 0.00883
50050.05005005005 0.00254 0.00359 0.00428 0.00494 0.00554 0.00623 0.00693 0.00781 0.00879
52552.55255255255 0.0026 0.00362 0.0043 0.00494 0.00553 0.0062 0.00689 0.00777 0.00875
55055.055055055054 0.00266 0.00366 0.00431 0.00494 0.00551 0.00617 0.00685 0.00772 0.00871
57557.55755755756 0.00272 0.0037 0.00433 0.00494 0.0055 0.00614 0.00681 0.00767 0.00867
60060.06006006006 0.00278 0.00373 0.00435 0.00494 0.00548 0.00611 0.00677 0.00763 0.00862
62562.56256256256 0.00284 0.00377 0.00436 0.00494 0.00546 0.00608 0.00673 0.00758 0.00858
65065.065065065064 0.00289 0.0038 0.00438 0.00494 0.00545 0.00605 0.00669 0.00753 0.00854
67567.56756756757 0.00295 0.00383 0.0044 0.00494 0.00544 0.00602 0.00665 0.00749 0.00849
70070.07007007007 0.003 0.00386 0.00441 0.00494 0.00542 0.006 0.00661 0.00744 0.00845
72572.57257257256 0.00305 0.00389 0.00443 0.00494 0.00541 0.00597 0.00657 0.0074 0.0084
75075.07507507507 0.00311 0.00392 0.00444 0.00494 0.0054 0.00594 0.00654 0.00735 0.00836
77577.57757757758 0.00316 0.00395 0.00445 0.00494 0.00538 0.00592 0.0065 0.00731 0.00831
80080.08008008008 0.0032 0.00398 0.00447 0.00494 0.00537 0.00589 0.00646 0.00726 0.00827
82582.58258258257 0.00325 0.00401 0.00448 0.00494 0.00536 0.00587 0.00643 0.00722 0.00822
85085.08508508508 0.0033 0.00403 0.00449 0.00493 0.00535 0.00585 0.00639 0.00717 0.00818
87587.5875875876 0.00335 0.00406 0.0045 0.00493 0.00533 0.00582 0.00636 0.00713 0.00813
90090.09009009009 0.00339 0.00408 0.00452 0.00493 0.00532 0.0058 0.00633 0.00708 0.00808
92592.59259259258 0.00343 0.00411 0.00453 0.00493 0.00531 0.00578 0.00629 0.00704 0.00804
95095.0950950951 0.00348 0.00413 0.00454 0.00493 0.0053 0.00575 0.00626 0.007 0.00799
97597.5975975976 0.00352 0.00415 0.00455 0.00493 0.00529 0.00573 0.00623 0.00695 0.00794
