,Unnamed: 0,kappa,xi,numbr_roots
0,0,0.13,0.1,2
1,0,0.13,0.2,2
2,0,0.13,0.3,2
3,0,0.13,0.4,2
4,0,0.13,0.5,2
5,0,0.13,0.6,2
6,0,0.13,0.7,2
7,0,0.13,0.8,2
8,0,0.13,0.9,2
9,0,0.13,1.0,2
10,0,0.13,1.1,2
11,0,0.13,1.2,2
12,0,0.13,1.3,2
13,0,0.13,1.4,2
14,0,0.13,1.5,2
15,0,0.13,1.6,3
16,0,0.13,1.7,3
17,0,0.13,1.8,3
18,0,0.13,1.9,3
19,0,0.13,2.0,3
20,0,0.13,2.1,3
21,0,0.13,2.2,3
22,0,0.13,2.3,3
23,0,0.13,2.4,3
24,0,0.13,2.5,3
25,0,0.13,2.6,3
26,0,0.13,2.7,3
27,0,0.13,2.8,3
28,0,0.13,2.9,3
29,0,0.13,3.0,3
30,0,0.16,0.1,2
31,0,0.16,0.2,2
32,0,0.16,0.3,2
33,0,0.16,0.4,2
34,0,0.16,0.5,2
35,0,0.16,0.6,2
36,0,0.16,0.7,2
37,0,0.16,0.8,2
38,0,0.16,0.9,2
39,0,0.16,1.0,2
40,0,0.16,1.1,2
41,0,0.16,1.2,2
42,0,0.16,1.3,2
43,0,0.16,1.4,2
44,0,0.16,1.5,2
45,0,0.16,1.6,3
46,0,0.16,1.7,3
47,0,0.16,1.8,3
48,0,0.16,1.9,3
49,0,0.16,2.0,3
50,0,0.16,2.1,3
51,0,0.16,2.2,3
52,0,0.16,2.3,3
53,0,0.16,2.4,3
54,0,0.16,2.5,3
55,0,0.16,2.6,3
56,0,0.16,2.7,3
57,0,0.16,2.8,3
58,0,0.16,2.9,3
59,0,0.16,3.0,3
60,0,0.19,0.1,2
61,0,0.19,0.2,2
62,0,0.19,0.3,2
63,0,0.19,0.4,2
64,0,0.19,0.5,2
65,0,0.19,0.6,2
66,0,0.19,0.7,2
67,0,0.19,0.8,2
68,0,0.19,0.9,2
69,0,0.19,1.0,2
70,0,0.19,1.1,2
71,0,0.19,1.2,2
72,0,0.19,1.3,2
73,0,0.19,1.4,2
74,0,0.19,1.5,2
75,0,0.19,1.6,3
76,0,0.19,1.7,3
77,0,0.19,1.8,3
78,0,0.19,1.9,3
79,0,0.19,2.0,3
80,0,0.19,2.1,3
81,0,0.19,2.2,3
82,0,0.19,2.3,3
83,0,0.19,2.4,3
84,0,0.19,2.5,3
85,0,0.19,2.6,3
86,0,0.19,2.7,3
87,0,0.19,2.8,3
88,0,0.19,2.9,3
89,0,0.19,3.0,3
90,0,0.1,0.1,2
91,0,0.1,0.2,2
92,0,0.1,0.3,2
93,0,0.1,0.4,2
94,0,0.1,0.5,2
95,0,0.1,0.6,2
96,0,0.1,0.7,2
97,0,0.1,0.8,2
98,0,0.1,0.9,2
99,0,0.1,1.0,2
