totalS,totalE,totalR,totalO1,totalO2,totalO3,totalU1,totalU2,totalU3,totalH1,totalH2,totalH3,totalD1,totalD2,totalD3
999063,10,0,0,0,0,0,0,0,0,0,0,0,0,0
999063,10,0,0,0,0,0,0,0,0,0,0,0,0,0
999063,10,0,0,0,0,0,0,0,0,0,0,0,0,0
999063,10,0,0,0,0,0,0,0,0,0,0,0,0,0
999063,10,0,0,0,0,0,0,0,0,0,0,0,0,0
999063,10,0,0,0,0,0,0,0,0,0,0,0,0,0
999063,8,0,0,1,1,0,0,0,0,0,0,0,0,0
999063,0,0,1,4,2,2,1,0,0,0,0,0,0,0
999056,7,0,1,4,2,2,1,0,0,0,0,0,0,0
999045,18,0,1,4,1,2,1,0,0,0,1,0,0,0
999036,27,0,1,4,1,2,1,0,0,0,1,0,0,0
999030,33,0,1,4,1,2,1,0,0,0,1,0,0,0
999024,39,0,1,4,1,2,1,0,0,0,1,0,0,0
999019,43,0,1,5,1,2,1,0,0,0,1,0,0,0
999014,40,0,2,8,2,3,3,0,0,0,0,0,0,1
998997,46,0,3,13,2,5,5,1,0,0,0,0,0,1
998982,50,0,3,20,2,5,8,2,0,0,0,0,0,1
998950,80,0,3,21,2,5,8,2,0,1,0,0,0,1
998926,98,0,4,23,3,6,9,2,0,1,0,0,0,1
998894,124,0,5,26,3,6,11,2,0,1,0,0,0,1
