totalS,totalE,totalR,totalO1,totalO2,totalO3,totalU1,totalU2,totalU3,totalH1,totalH2,totalH3,totalD1,totalD2,totalD3
10127,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,7,0,1,1,0,0,0,1,0,0,0,0,0,0
10122,5,0,2,3,1,1,2,1,0,0,0,0,0,0
10110,17,0,2,3,1,1,2,1,0,0,0,0,0,0
10091,36,0,2,3,1,1,2,1,0,0,0,0,0,0
10068,59,0,2,3,0,1,2,1,0,0,1,0,0,0
10051,76,0,2,3,0,1,2,1,0,0,1,0,0,0
10041,85,0,2,3,0,1,3,1,0,0,1,0,0,0
10032,90,0,2,3,1,2,5,1,0,0,1,0,0,0
10007,99,0,5,9,2,4,8,2,0,0,1,0,0,0
9967,121,0,7,14,2,9,13,3,0,0,1,0,0,0
9893,171,0,13,20,4,9,23,3,0,0,1,0,0,0
9785,265,0,16,25,6,10,26,3,0,0,1,0,0,0
9654,387,0,17,30,7,11,27,3,0,0,1,0,0,0
9555,470,0,24,33,6,15,29,3,0,0,2,0,0,0
9493,509,0,25,40,6,17,40,4,0,0,3,0,0,0
9413,540,0,34,59,7,22,53,6,0,0,3,0,0,0
9272,605,0,44,85,10,34,74,8,1,1,3,0,0,0
9093,673,4,54,130,13,48,105,12,1,1,3,0,0,0
8819,819,10,67,173,20,64,141,17,1,2,3,0,0,1
8506,1043,10,86,202,21,74,162,21,1,4,6,0,0,1
8188,1288,10,93,223,27,91,180,23,1,5,7,0,0,1
7812,1565,10,108,258,27,106,204,27,1,6,12,0,0,1
7392,1845,10,134,301,33,123,247,28,2,8,13,0,0,1
6964,2082,11,173,363,39,150,297,32,2,8,15,0,0,1
6482,2287,15,223,478,49,177,356,42,2,10,15,0,0,1
5944,2492,32,277,585,64,222,438,52,1,11,17,0,0,2
5360,2743,50,325,682,88,266,522,64,2,12,16,0,1,6
4750,2982,74,389,797,103,307,604,82,2,20,20,0,1,6
4128,3182,88,457,952,109,353,718,89,3,26,21,0,1,10
3580,3272,99,528,1107,127,421,819,109,3,28,33,0,1,10
2986,3399,115,611,1273,139,474,930,124,3,34,36,0,1,12
